"term","afraid","amused","angry","annoyed","dont_care","happy","inspired","sad"
"sidestep",0,23.800018,0,45.459077,30.740615,0,0,0.00029
"simplistic",0,0,36.046487,0,0,63.953513,0,0
"uncensored",0,0,0.000138,0,0.374031,99.625831,0,0
"kellogg",0,0,0,0,0,100,0,0
"cast",0,0.000329,0,0.000221,0,99.999409,3.9e-05,1e-06
"mauve",0,0.000521,0,0,0,0.055445,0,99.944035
"emerson",0,1e-06,99.999963,5e-06,0,2.9e-05,1e-06,0
"troubleshoot",0,0,99.999999,0,0,1e-06,0,0
"wajda",0,0,0,0,0,99.999997,0,3e-06
"inauspicious",0,0,0,0,0,65.837099,34.162901,0
"generator",2.2e-05,1.542632,98.457344,0,0,2e-06,0,0
"buddhism",0,3e-06,99.999997,0,0,0,0,0
"directional",0,99.999996,0,0,0,0,4e-06,0
"talkative",0,0.00011,0,0,0,0,0,99.99989
"kampuchea",0,0,82.052736,0,0,17.947264,0,0
"cira",0,0,0,89.790919,0,0,10.209081,0
"synthesis",0,0,71.366201,23.613572,5.020227,0,0,0
"predate",0.001793,0,29.863036,0,0,12.321968,0,57.813203
"tribesman",0,0,0,0.000348,0,0,0,99.999652
"seditious",14.418314,0,0,85.581686,0,0,0,0
"quebec",2e-06,0,1e-06,1e-06,0,99.847452,0,0.152544
"alternative",1.401874,51.125125,0.000109,2.5e-05,4e-06,11.553366,0.001135,35.918361
"selflessly",0,0,0,0,0,0,0,100
"costly",28.088903,4e-06,2.9e-05,8.2e-05,0,25.181494,46.719062,0.010427
"enclose",0,6.940875,0,4.2e-05,1e-06,0.217883,0.00036,92.840839
"urbanization",40.449076,59.550922,0,0,0,2e-06,0,0
"unspectacular",10.757372,10.851601,0,0,43.01852,3e-06,35.372504,0
"marx",0,0,99.999999,0,0,0,0,0
"readmission",0,0,0,28.716739,63.783368,0,7.499892,0
"extraterrestrial",9.28507,48.831838,0,0,27.266903,13.448029,1.168161,0
"strasbourg",0,0,0,0,0,99.999637,0,0.000363
"rubbery",0,59.770152,0,0,0,3e-06,0,40.229845
"rushdie",0,0,0,0,0,0,100,0
"steele",0,4.3e-05,0,0,0,3.3e-05,99.999923,0
"bailor",0,13.974952,0,0,59.691162,26.333886,0,0
"bragging",0,97.359535,5e-06,0,0,2.64046,0,0
"exclaim",0,99.908114,0,0,0,1.3e-05,0,0.091873
"embark",4e-06,0.025414,0.000207,2.7e-05,5e-06,57.366471,42.494236,0.113636
"fierceness",0,0,0,0,0,100,0,0
"preseason",0,0,3e-06,18.461727,63.232844,14.372129,0,3.933296
"class",0.007105,1e-06,6e-06,22.33686,6.118504,11.284163,10.245591,50.00777
"beanstalk",0,0,0,0,0,25.832453,0,74.167547
"cordage",0,0,0,1e-06,0,0,0,99.999999
"discontinue",0,0,0,0.000323,0,1e-06,0,99.999675
"fraternize",0,0,63.710742,0,0,0,36.289258,0
"loo",0,0,0,0,0,100,0,0
"archipelago",0,0,0,0,0,100,0,0
"vanish",54.827467,0.00019,0.000774,0.755865,9e-06,32.401354,0,12.01434
"saman",0,0,70.776764,0,21.485155,0,7.738081,0
"arroyo",0,0,31.645962,25.043467,0,0.000405,35.31037,7.999796
"11",47.601243,0,0,0,0,29.722826,22.675931,0
"weighted",0,1.242215,0,0,0,98.757785,0,0
"blue-green",0,0,0.199876,0,0,20.757546,79.042578,0
"preconceived",0,0,85.588195,0,0,0,14.411805,0
"uganda",2.2e-05,0,0.026821,0,0,99.973116,0,3.9e-05
"putin",6.6e-05,82.52899,0,17.470943,0,0,0,0
"hiv",0,0,0,0.000472,0,99.996155,9.5e-05,0.003277
"adorable",0,0.000729,0,9e-06,1.8e-05,99.999245,0,0
"ruck",0,2.2e-05,0,0,0,0,99.999978,0
"on-site",0,0,0,17.068956,37.896846,5e-06,2.844891,42.189301
"variability",83.23772,0,0,7e-06,0,0,0,16.762273
"compounded",9.987458,0,0,3e-06,0,17.248874,0,72.763664
"humongous",0,0,0,0,0,100,0,0
"fo",23.234135,0.615278,0,0,0,4.6e-05,0,76.15054
"reimburse",0,6.493524,0,93.506476,0,0,0,0
"savour",0,0,0,33.407309,0,66.592691,0,0
"marbling",0,0,0,35.219885,64.780115,0,0,0
"seven",0,0,0,99.999949,0,5.1e-05,0,0
"tunicate",0,0,0,0,0,47.501912,52.498088,0
"uniquely",0,0,0,0,0,9e-06,99.999991,0
"swoon",0,1e-06,0.159517,32.897803,16.942694,49.999984,0,0
"subculture",0,23.619179,0,70.656444,5.724376,0,0,0
"effective",1.3e-05,0,0.00077,0,0,99.999217,0,0
"horny",0,100,0,0,0,0,0,0
"florid",0,0,0,0,0,100,0,0
"grandpa",0,12.797651,0,0,81.335477,2.500762,3.351996,0.014113
"pinwheel",0,0,0,0,0,0,0,100
"copulate",0,1.4e-05,0,0,0,0,99.999986,0
"chain",0.409128,17.489938,0.01387,5.2e-05,0.000122,32.070564,50.000061,0.016265
"unimpeded",0,0,2e-06,8.8e-05,0,8e-06,0,99.999901
"perpetuate",2e-06,0,3e-06,0,0,4e-06,99.99999,0
"unimpeachable",0,0,0,0,0,100,0,0
"chest",0.000314,1.698018,0.000208,70.808936,2e-06,27.491599,2.1e-05,0.000903
"haiku",0,0,0,0,0,0,99.999999,0
"mechanically",41.275614,0,31.315344,0,0,0,0,27.409042
"24th",0,0,0,0,0,0.000131,99.999869,0
"copious",0,19.616542,0,0,46.776966,33.606492,0,0
"tajikistan",0,0,0,1.7e-05,0.000106,3e-06,0,99.999874
"greek",96.74067,0.000523,1.9e-05,0.000326,0.01658,1.746778,1.8e-05,1.495086
"boredom",99.999999,0,0,0,0,1e-06,0,0
"pushup",0,0,0,0,0,99.999251,0.000749,0
"rustic",1e-06,0,0,0.002544,0,99.996938,0.000518,0
"rundown",0,9.763,81.090257,0,0,0.000147,9.146596,0
"medallist",0,0,0,5e-06,0,3.5e-05,0,99.999959
"bend",2.3e-05,28.975804,0.000837,8.227962,2.8e-05,60.585652,2.208673,0.001021
"childish",0,0,0,99.985121,0,0.014879,0,0
"conserve",0,0.695604,0.069513,0.000766,0.000276,99.233458,0.000236,0.000147
"miser",0,0,0,0,0,99.999973,2.7e-05,0
